p,max_energy,norm_entropy
0,0.50570317912998,0.2874258214074865
1,0.6263638155026323,0.5371395182020421
2,0.6710087894434413,0.650527737703395
3,0.6935115982989359,0.7144777956739686
4,0.7061587515402327,0.7553749347704242
5,0.7148902270394648,0.7836001697263715
6,0.7212852498213175,0.8043266872329807
7,0.7261166317782268,0.8202454801106022
8,0.7294042112347804,0.8327388054985103
9,0.7319445932100858,0.842811495630268
10,0.734328919503516,0.8514342345639073
