p,c,bc,keo,norm_entropy,energy
0,1,1,-1.0,-0.7034383925257788,-0.8774858271982003
0,1,-1,-1.0,0.7949898980474499,0.2148308569544022
0,1,1,-0.99,-0.6908077283031937,-0.8735031592392858
0,1,-1,-0.99,0.7918733612332867,0.21718651072840042
0,1,1,-0.98,-0.6782344890588816,-0.8695249554036424
0,1,-1,-0.98,0.7887227363643854,0.21955508651032637
0,1,1,-0.97,-0.6657186102115163,-0.8655512407157222
0,1,-1,-0.97,0.7855378369880518,0.2219365344565486
0,1,1,-0.96,-0.6532600268176647,-0.8615820403581929
0,1,-1,-0.96,0.7823184773624052,0.22433080434735922
0,1,1,-0.95,-0.6408586735694979,-0.8576173796728885
0,1,-1,-0.95,0.7790644724615426,0.22673784560192106
0,1,1,-0.94,-0.628514484792488,-0.8536572841617652
0,1,-1,-0.94,0.7757756379804929,0.22915760729300394
0,1,1,-0.93,-0.6162273944430897,-0.8497017794878567
0,1,-1,-0.93,0.772451790339965,0.23159003816150694
0,1,1,-0.92,-0.6039973361064089,-0.8457508914762328
0,1,-1,-0.92,0.7690927466908896,0.23403508663076705
0,1,1,-0.91,-0.5918242429938593,-0.8418046461149599
0,1,-1,-0.91,0.7656983249187592,0.23649270082065305
0,1,1,-0.9,-0.579708047940801,-0.837863069556062
0,1,-1,-0.9,0.7622683436477726,0.23896282856144327
0,1,1,-0.89,-0.5676486834041694,-0.833926188116486
0,1,-1,-0.89,0.7588026222447835,0.24144541740748754
0,1,1,-0.88,-0.5556460814600876,-0.8299940282790647
0,1,-1,-0.88,0.7553009808230553,0.24394041465065328
0,1,1,-0.87,-0.5437001738014657,-0.8260666166934841
0,1,-1,-0.87,0.7517632402458314,0.24644776733355375
0,1,1,-0.86,-0.5318108917355858,-0.8221439801772508
0,1,-1,-0.86,0.7481892221297187,0.24896742226256136
0,1,1,-0.85,-0.519978166181673,-0.8182261457166602
0,1,-1,-0.85,0.7445787488478897,0.25149932602060243
0,1,1,-0.84,-0.508201927668454,-0.814313140467766
0,1,-1,-0.84,0.7409316435331054,0.2540434249797379
0,1,1,-0.83,-0.49648210633169826,-0.8104049917573508
0,1,-1,-0.83,0.7372477300805638,0.2565996653135261
0,1,1,-0.82,-0.4848186319117492,-0.8065017270838962
0,1,-1,-0.82,0.7335268331505768,0.2591679930091714
0,1,1,-0.81,-0.4732114337510381,-0.8026033741185542
0,1,-1,-0.81,0.729768778171077,0.2617483538794574
0,1,1,-0.8,-0.4616604407915851,-0.7987099607061182
0,1,-1,-0.8,0.7259733913399606,0.2643406935744664
0,1,1,-0.79,-0.4501655815724872,-0.7948215148659957
0,1,-1,-0.79,0.722140499627266,0.2669449575930851
0,1,1,-0.78,-0.4387267842273913,-0.7909380647931783
0,1,-1,-0.78,0.7182699307771941,0.2695610912942987
0,1,1,-0.77,-0.42734397648195177,-0.7870596388592134
0,1,-1,-0.77,0.7143615133099742,0.2721890399082727
0,1,1,-0.76,-0.41601708565127743,-0.7831862656131748
0,1,-1,-0.76,0.710415076523573,0.2748287485472252
0,1,1,-0.75,-0.4047460386373612,-0.779317973782633
0,1,-1,-0.75,0.7064304504952582,0.27748016221608984
0,1,1,-0.74,-0.39353076192649744,-0.7754547922746234
0,1,-1,-0.74,0.7024074660830107,0.28014322582297096
0,1,1,-0.73,-0.382371181586685,-0.771596750176615
