p,c,krl,energy
0,1,"[0.05, 0.05263157894736842, 0.05555555555555555, 0.058823529411764705, 0.0625, 0.06666666666666667, 0.07142857142857142, 0.07692307692307693, 0.08333333333333333, 0.09090909090909091, 0.1, 0.1111111111111111, 0.125, 0.14285714285714285, 0.16666666666666666, 0.2, 0.25, 0.3333333333333333, 0.33444816053511706, 0.33557046979865773, 0.33670033670033667, 0.33783783783783783, 0.3389830508474576, 0.3401360544217687, 0.341296928327645, 0.3424657534246575, 0.3436426116838488, 0.3448275862068966, 0.3460207612456747, 0.3472222222222222, 0.3484320557491289, 0.3496503496503497, 0.3508771929824561, 0.35211267605633806, 0.35335689045936397, 0.3546099290780142, 0.35587188612099646, 0.35714285714285715, 0.35842293906810035, 0.3597122302158274, 0.36101083032490977, 0.3623188405797102, 0.36363636363636365, 0.36496350364963503, 0.3663003663003663, 0.3676470588235294, 0.36900369003690037, 0.37037037037037035, 0.3717472118959108, 0.3731343283582089, 0.37453183520599254, 0.37593984962406013, 0.37735849056603776, 0.3787878787878788, 0.3802281368821293, 0.38167938931297707, 0.3831417624521073, 0.3846153846153846, 0.3861003861003861, 0.38759689922480617, 0.38910505836575876, 0.390625, 0.3921568627450981, 0.39370078740157477, 0.3952569169960475, 0.3968253968253968, 0.39840637450199207, 0.4, 0.4016064257028112, 0.40322580645161293, 0.4048582995951417, 0.4065040650406504, 0.4081632653061224, 0.4098360655737705, 0.4115226337448559, 0.4132231404958678, 0.41493775933609955, 0.4166666666666667, 0.41841004184100417, 0.42016806722689076, 0.42194092827004215, 0.42372881355932207, 0.425531914893617, 0.4273504273504274, 0.4291845493562232, 0.4310344827586207, 0.4329004329004329, 0.4347826086956522, 0.4366812227074236, 0.4385964912280702, 0.44052863436123346, 0.4424778761061947, 0.4444444444444444, 0.4464285714285714, 0.4484304932735426, 0.4504504504504504, 0.45248868778280543, 0.45454545454545453, 0.4566210045662101, 0.4587155963302752, 0.4608294930875576, 0.4629629629629629, 0.46511627906976744, 0.4672897196261682, 0.4694835680751174, 0.4716981132075471, 0.47393364928909953, 0.47619047619047616, 0.47846889952153115, 0.4807692307692307, 0.48309178743961356, 0.4854368932038835, 0.48780487804878053, 0.49019607843137253, 0.4926108374384237, 0.49504950495049505, 0.49751243781094534, 0.5, 0.5025125628140703, 0.5050505050505051, 0.5076142131979695, 0.5102040816326531, 0.5128205128205129, 0.5154639175257733, 0.5181347150259068, 0.5208333333333334, 0.5235602094240838, 0.5263157894736842, 0.5291005291005292, 0.5319148936170213, 0.53475935828877, 0.5376344086021505, 0.5405405405405405, 0.5434782608695652, 0.5464480874316939, 0.5494505494505494, 0.5524861878453039, 0.5555555555555556, 0.5586592178770949, 0.5617977528089888, 0.5649717514124294, 0.5681818181818182, 0.5714285714285714, 0.5747126436781609, 0.5780346820809249, 0.5813953488372093, 0.5847953216374269, 0.5882352941176471, 0.591715976331361, 0.5952380952380952, 0.5988023952095809, 0.6024096385542169, 0.6060606060606061, 0.6097560975609756, 0.6134969325153374, 0.6172839506172839, 0.6211180124223602, 0.625, 0.6289308176100629, 0.6329113924050632, 0.6369426751592356, 0.641025641025641, 0.6451612903225806, 0.6493506493506493, 0.6535947712418301, 0.6578947368421053, 0.6622516556291391, 0.6666666666666666, 0.6711409395973155, 0.6756756756756757, 0.6802721088435374, 0.684931506849315, 0.6896551724137931, 0.6944444444444444, 0.6993006993006994, 0.7042253521126761, 0.7092198581560284, 0.7142857142857143, 0.7194244604316548, 0.7246376811594204, 0.7299270072992701, 0.7352941176470588, 0.7407407407407407, 0.7462686567164178, 0.7518796992481203, 0.7575757575757576, 0.7633587786259541, 0.7692307692307692, 0.7751937984496123, 0.78125, 0.7874015748031495, 0.7936507936507936, 0.8, 0.8064516129032259, 0.8130081300813008, 0.819672131147541, 0.8264462809917356, 0.8333333333333334, 0.8403361344537815, 0.8474576271186441, 0.8547008547008548, 0.8620689655172414, 0.8695652173913044, 0.8771929824561404, 0.8849557522123894, 0.8928571428571428, 0.9009009009009008, 0.9090909090909091, 0.9174311926605504, 0.9259259259259258, 0.9345794392523364, 0.9433962264150942, 0.9523809523809523, 0.9615384615384615, 0.970873786407767, 0.9803921568627451, 0.9900990099009901, 1.0, 1.0101010101010102, 1.0204081632653061, 1.0309278350515465, 1.0416666666666667, 1.0526315789473684, 1.0638297872340425, 1.075268817204301, 1.0869565217391304, 1.0989010989010988, 1.1111111111111112, 1.1235955056179776, 1.1363636363636365, 1.1494252873563218, 1.1627906976744187, 1.1764705882352942, 1.1904761904761905, 1.2048192771084338, 1.2195121951219512, 1.2345679012345678, 1.25, 1.2658227848101264, 1.282051282051282, 1.2987012987012987, 1.3157894736842106, 1.3333333333333333, 1.3513513513513513, 1.36986301369863, 1.3888888888888888, 1.4084507042253522, 1.4285714285714286, 1.4492753623188408, 1.4705882352941175, 1.4925373134328357, 1.5151515151515151, 1.5384615384615383, 1.5625, 1.5873015873015872, 1.6129032258064517, 1.639344262295082, 1.6666666666666667, 1.6949152542372883, 1.7241379310344829, 1.7543859649122808, 1.7857142857142856, 1.8181818181818181, 1.8518518518518516, 1.8867924528301885, 1.923076923076923, 1.9607843137254901, 2.0, 2.0408163265306123, 2.0833333333333335, 2.127659574468085, 2.1739130434782608, 2.2222222222222223, 2.272727272727273, 2.3255813953488373, 2.380952380952381, 2.4390243902439024, 2.5, 2.564102564102564, 2.6315789473684212, 2.7027027027027026, 2.7777777777777777, 2.857142857142857, 2.941176470588235, 3.0303030303030303, 3.125, 3.2258064516129035, 3.3333333333333335, 3.4482758620689657, 3.571428571428571, 3.7037037037037033, 3.846153846153846, 4.0, 4.166666666666667, 4.3478260869565215, 4.545454545454546, 4.761904761904762, 5.0, 5.2631578947368425, 5.555555555555555, 5.88235294117647, 6.25, 6.666666666666667, 7.142857142857142, 7.692307692307692, 8.333333333333334, 9.090909090909092, 10.0, 11.11111111111111, 12.5, 14.285714285714285, 16.666666666666668, 20.0, 25.0, 33.333333333333336, 50.0, 100.0]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0005230999784678247, -0.0006079164351807646, -0.0007151550477522447, -0.0008534708908272894, -0.0021616153502816465, -0.002692732693427175, -0.003446483748997738, -0.00456703962450828, -0.006337158434994543, -0.009374637842712872, -0.015248663874941622, -0.028933425566941843, -0.029152190594061583, -0.02937341657795005, -0.02959714001508405, -0.029823398068166168, -0.03005222858041746, -0.03028367009021701, -0.030517761846098678, -0.030754543822113668, -0.030994056733570117, -0.031236342053157055, -0.03148144202746806, -0.03172939969392888, -0.03198025889814451, -0.03223406431167717, -0.032490861450262115, -0.032750696692479125, -0.03301361729888793, -0.033279671431640664, -0.033548908174586854, -0.03382137755388042, -0.034097130559104405, -0.03437621916492829, -0.03465869635331116, -0.0349446161362646, -0.03523403357919178, -0.03552700482482028, -0.03582358711773954, -0.03612383882956468, -0.03642781948474126, -0.03673558978700825, -0.03704721164653768, -0.037362748207769636, -0.03768226387796044, -0.03800582435646454, -0.038333496664769894, -0.03866534917730543, -0.03900145165304501, -0.03934187526792535, -0.039686692648103226, -0.040035977904074135, -0.0403898066656714, -0.040748256117978436, -0.04111140503816698, -0.04147933383329704, -0.041852124579097094, -0.04222986105975382, -0.04261262880873725, -0.04300051515068861, -0.04339360924440097, -0.04379200212691776, -0.04419578675878154, -0.04460505807046329, -0.04501991300999822, -0.045440450591867486, -0.04586677194714948, -0.04629898037497802, -0.04673718139534061, -0.04718148280324789, -0.04763199472431122, -0.04808882967176241, -0.04855210260495031, -0.04902193098935251, -0.04949843485813791, -0.04998173687531339, -0.05047196240050113, -0.050969239555373996, -0.0514736992917958, -0.05198547546169979, -0.05250470488874711, -0.053031527441802284, -0.053566086110268266, -0.05410852708131498, -0.054658999819046226, -0.055217657145639615, -0.05578465532450132, -0.05636015414547142, -0.05694431701211934, -0.0575373110311666, -0.05813930710407101, -0.05875048002081037, -0.05937100855589761, -0.06000107556666038, -0.06064086809381523, -0.06129057746436733, -0.0619503993968588, -0.06262053410899224, -0.06330118642764816, -0.06399256590131779, -0.0646948869149587, -0.06540836880728877, -0.06613323599052086, -0.06686971807253726, -0.06761804998149926, -0.06837847209287755, -0.06915123035888673, -0.06993657644029097, -0.07073476784055108, -0.07154606804226114, -0.07237074664582292, -0.07320907951028546, -0.07406134889627479, -0.0749278436109132, -0.07580885915462375, -0.0767046978696897, -0.07761566909042718, -0.07854208929480548, -0.07948428225732998, -0.08044257920297873, -0.08141731896195954, -0.08240884812502144, -0.08341752119903408, -0.08444370076250618, -0.08548775762068532, -0.0865500709598402, -0.08763102850028509, -0.08873102664766419, -0.0898504706419604, -0.09098977470364757, -0.09214936217633916, -0.09332966566523729, -0.09453112717061021, -0.0957541982154612, -0.09699933996647567, -0.09826702334724917, -0.09955772914271416, -0.10087194809358788, -0.10221018097956157, -0.1035729386898488, -0.10496074227958703, -0.10637412301047068, -0.10781362237385744, -0.10927979209445184, -0.11077319411251885, -0.11229440054242316, -0.11384399360511928, -0.11542256553204096, -0.1170307184376439, -0.11866906415766686, -0.12033822404995052, -0.12203882875444608, -0.12377151790880292, -0.1255369398156884, -0.1273357510577319, -0.12916861605573032, -0.13103620656546636, -0.1329392011082229, -0.1348782843297732, -0.1368541462823375, -0.1375383427004193, -0.1395280750080468, -0.14155380567591772, -0.14361611982753789, -0.14571560073802772, -0.14785282883782988, -0.15002838065244994, -0.15224282767695868, -0.15449673518422583, -0.15679066096611843, -0.15912515400720886, -0.16150075309086273, -0.16391798533794516, -0.1663773646787902, -0.16887939025949233, -0.17142454478404237, -0.17401329279429878, -0.17664607889028106, -0.17932332589377792, -0.1820454329587626, -0.1848127736326182, -0.18762569387265968, -0.19048451002289954, -0.19338950675642827, -0.19634093498914887, -0.19933900977091215, -0.20238390816031643, -0.205475767089567, -0.20861468122580845, -0.21180070083522834, -0.2150338296560008, -0.21831402278574588, -0.22164118458864934, -0.2250151666267086, -0.2284357656187348, -0.23190272142978968, -0.235415715092652, -0.23897436686175094, -0.24257823429878927, -0.24622681038805752, -0.24991952167828307, -0.2536557264467989, -0.25743471288096875, -0.26125569727121906, -0.26511782220980806, -0.2690201547896964, -0.27296168479865235, -0.27694132290512996, -0.2809578988345505, -0.2850101595374821, -0.2890967673548548, -0.29321629818980344, -0.2973672397009527, -0.3015479895378722, -0.30575685364593447, -0.3099920446747137, -0.31425168053114466, -0.3185337831256407, -0.322836277365888, -0.32715699045872376, -0.33149365158489175, -0.3358438920141304, -0.3402052457284479, -0.3445751506191555, -0.3489509503177579, -0.35332989671179166, -0.35770915318384444, -0.36208579859508744, -0.36645683201373586, -0.37081917816404364, -0.37516969354320195, -0.3795051731224569, -0.3838223575158733, -0.38811794046664133, -0.39238857646819275, -0.3966308883074369, -0.4014050843190655, -0.40485868367434874, -0.4091537786288191, -0.4132486266498124, -0.4172980162444553, -0.4212985025841111, -0.4252466388256196, -0.4291389743829919, -0.4329720513758781, -0.43674239935628695, -0.44044652853984745, -0.4440809219074937, -0.4476420266938523, -0.4511262459344032, -0.4545299308977423, -0.4578493753737168, -0.46108081291314695, -0.464220418209572, -0.4672643138665051, -0.47020858379337016, -0.47304929440843596, -0.4757825246877911, -0.47840440587818883, -0.48091117138438466, -0.483299216948986, -0.485565170771179, -0.4877059726729888, -0.4897189608380322, -0.4916019640450619, -0.49335339672985074, -0.49497235367086634, -0.4968546034136691, -0.4978131570666025, -0.4990373664649882, -0.5001339506028186, -0.501106543240393, -0.5019597998182541, -0.5026993797900797, -0.5033318988842207, -0.5038648492325453, -0.5043064861010813, -0.504665680967038, -0.5049517420442801, -0.5051742052370908, -0.5053426010643126, -0.5054662064095965, -0.5055537938639425, -0.5056133954257057, -0.5056521004664346, -0.5056759088309686, -0.5056896572860005, -0.5056970302738863, -0.505700654245749, -0.5057022607004437, -0.50570289022376, -0.505703102909163, -0.5057031629209782, -0.5057031764941972, -0.505703178825188, -0.5057031791074494, -0.5057031791290906, -0.5057031791299683, -0.5057031791299802, -0.50570317912998, -0.50570317912998, -0.50570317912998, -0.50570317912998, -0.50570317912998, -0.50570317912998, -0.50570317912998, -0.50570317912998, -0.50570317912998, -0.50570317912998, -0.50570317912998, -0.50570317912998]"
0,2,"[0.78125, 0.7874015748031495, 0.7936507936507936, 0.8, 0.8064516129032259, 0.8130081300813008, 0.819672131147541, 0.8264462809917356, 0.8333333333333334, 0.8403361344537815, 0.8474576271186441, 0.8547008547008548, 0.8620689655172414, 0.8695652173913044, 0.8771929824561404, 0.8849557522123894, 0.8928571428571428, 0.9009009009009008, 0.9090909090909091, 0.9174311926605504, 0.9259259259259258, 0.9345794392523364, 0.9433962264150942, 0.9523809523809523, 0.9615384615384615, 0.970873786407767, 0.9803921568627451, 0.9900990099009901, 1.0, 1.0101010101010102, 1.0204081632653061, 1.0309278350515465, 1.0416666666666667, 1.0526315789473684, 1.0638297872340425, 1.075268817204301, 1.0869565217391304, 1.0989010989010988, 1.1111111111111112, 1.1235955056179776, 1.1363636363636365, 1.1494252873563218, 1.1627906976744187, 1.1764705882352942, 1.1904761904761905, 1.2048192771084338, 1.2195121951219512, 1.2345679012345678, 1.25, 1.2658227848101264, 1.282051282051282, 1.2987012987012987, 1.3157894736842106, 1.3333333333333333, 1.3513513513513513, 1.36986301369863, 1.3888888888888888, 1.4084507042253522, 1.4285714285714286, 1.4492753623188408, 1.4705882352941175, 1.4925373134328357, 1.5151515151515151, 1.5384615384615383, 1.5625, 1.5873015873015872, 1.6129032258064517, 1.639344262295082, 1.6666666666666667, 1.6949152542372883, 1.7241379310344829, 1.7543859649122808, 1.7857142857142856, 1.8181818181818181, 1.8518518518518516, 1.8867924528301885, 1.923076923076923, 1.9607843137254901, 2.0, 2.0408163265306123, 2.0833333333333335, 2.127659574468085, 2.1739130434782608, 2.2222222222222223, 2.272727272727273, 2.3255813953488373, 2.380952380952381, 2.4390243902439024, 2.5, 2.564102564102564, 2.6315789473684212, 2.7027027027027026, 2.7777777777777777, 2.857142857142857, 2.941176470588235, 3.0303030303030303, 3.125, 3.2258064516129035, 3.3333333333333335, 3.4482758620689657, 3.571428571428571, 3.7037037037037033, 3.846153846153846, 4.0, 4.166666666666667, 4.3478260869565215, 4.545454545454546, 4.761904761904762, 5.0, 5.2631578947368425, 5.555555555555555, 5.88235294117647, 6.25, 6.666666666666667, 7.142857142857142, 7.692307692307692, 8.333333333333334, 9.090909090909092, 10.0, 11.11111111111111, 12.5, 14.285714285714285, 16.666666666666668, 20.0, 25.0, 33.333333333333336, 50.0, 100.0]","[-0.29834928844985253, -0.30381372219625796, -0.3010525918813739, -0.31104362609540037, -0.313963322764267, -0.3170912640415372, -0.3201298344498438, -0.32277089307041684, -0.32561920116171494, -0.3288942916667173, -0.3313351492152644, -0.33401613565423816, -0.33652068940086244, -0.3390769823326712, -0.341795743027372, -0.3439611344866086, -0.34630879997768915, -0.3487405391305722, -0.351064752544318, -0.35314269910037044, -0.35518706706719483, -0.3571608253661034, -0.35915249126757415, -0.36104821357944805, -0.36282095259095926, -0.36413197824591353, -0.36599189123758524, -0.3676469373869957, -0.36818747016772674, -0.3704175078976145, -0.37169403659459316, -0.3729144005580478, -0.37394423352520995, -0.3748994009468166, -0.37639922991411834, -0.37709422442445584, -0.37689096262892374, -0.37751896442888544, -0.3784274621079935, -0.3780020558245459, -0.3784117090057227, -0.3784142752752373, -0.37846518037695065, -0.3778524122828801, -0.37759491319760025, -0.37746461077737437, -0.3759399882412603, -0.3753939771204474, -0.37397930804288637, -0.3726025253263371, -0.3714242817933344, -0.3695809142204945, -0.3678830268066049, -0.3656019132657773, -0.3633729561203899, -0.36077708218681265, -0.3581974666027009, -0.3552768022609348, -0.35208621425296593, -0.34898932826561574, -0.3449649335499813, -0.3412128883579389, -0.33716046842585357, -0.33211405745636713, -0.32792513268880286, -0.32333410136713164, -0.3177194345086106, -0.3118193911812978, -0.3055620536406489, -0.2994757053335757, -0.29349647906003323, -0.28615735485433247, -0.279056433658426, -0.271367153375787, -0.2634445099303479, -0.2550038538702899, -0.2470140834606046, -0.23715172527175415, -0.22708244303884123, -0.21771421219040127, -0.20867549816475967, -0.19711793205368322, -0.18574497567833734, -0.17430950130325149, -0.16266818175525924, -0.15088085768756404, -0.1394697328185525, -0.1262524760697126, -0.11464882908026072, -0.10198080097702875, -0.09002577285192415, -0.07858762379808072, -0.0673302297078805, -0.0568947453884893, -0.0468514456454229, -0.03804121147795702, -0.030111700447500857, -0.023004702201655604, -0.017193259227614537, -0.012340070122842332, -0.00852619632688158, -0.0056488566565099756, -0.003455782939750714, -0.0020789786506550307, -0.0011428559336906776, -0.0005783209033572184, -0.00016704747165062337, -0.00020422678062484117, -0.0001154051556200459, 9.939532904272245e-6, -0.00023033760993950065, -7.003778080806974e-5, 2.8485194032226032e-5, -5.338298681993485e-5, -2.974674470260785e-6, 5.9185641709220324e-6, -7.231999676394333e-5, 4.987414862351586e-5, 0.00011312650320483815, 3.379849719471306e-5, -3.416034179062301e-5, -2.6151335372800627e-5, 5.0145044613126685e-5, -1.752818181303745e-5, -3.7056994007479475e-5, -3.833758910385523e-6, -0.00011834137527292566, -3.26384073867021e-5]"
