p,c,krl,norm_entropy
0,1,"[0.05, 0.05263157894736842, 0.05555555555555555, 0.058823529411764705, 0.0625, 0.06666666666666667, 0.07142857142857142, 0.07692307692307693, 0.08333333333333333, 0.09090909090909091, 0.1, 0.1111111111111111, 0.125, 0.14285714285714285, 0.16666666666666666, 0.2, 0.25, 0.3333333333333333, 0.33444816053511706, 0.33557046979865773, 0.33670033670033667, 0.33783783783783783, 0.3389830508474576, 0.3401360544217687, 0.341296928327645, 0.3424657534246575, 0.3436426116838488, 0.3448275862068966, 0.3460207612456747, 0.3472222222222222, 0.3484320557491289, 0.3496503496503497, 0.3508771929824561, 0.35211267605633806, 0.35335689045936397, 0.3546099290780142, 0.35587188612099646, 0.35714285714285715, 0.35842293906810035, 0.3597122302158274, 0.36101083032490977, 0.3623188405797102, 0.36363636363636365, 0.36496350364963503, 0.3663003663003663, 0.3676470588235294, 0.36900369003690037, 0.37037037037037035, 0.3717472118959108, 0.3731343283582089, 0.37453183520599254, 0.37593984962406013, 0.37735849056603776, 0.3787878787878788, 0.3802281368821293, 0.38167938931297707, 0.3831417624521073, 0.3846153846153846, 0.3861003861003861, 0.38759689922480617, 0.38910505836575876, 0.390625, 0.3921568627450981, 0.39370078740157477, 0.3952569169960475, 0.3968253968253968, 0.39840637450199207, 0.4, 0.4016064257028112, 0.40322580645161293, 0.4048582995951417, 0.4065040650406504, 0.4081632653061224, 0.4098360655737705, 0.4115226337448559, 0.4132231404958678, 0.41493775933609955, 0.4166666666666667, 0.41841004184100417, 0.42016806722689076, 0.42194092827004215, 0.42372881355932207, 0.425531914893617, 0.4273504273504274, 0.4291845493562232, 0.4310344827586207, 0.4329004329004329, 0.4347826086956522, 0.4366812227074236, 0.4385964912280702, 0.44052863436123346, 0.4424778761061947, 0.4444444444444444, 0.4464285714285714, 0.4484304932735426, 0.4504504504504504, 0.45248868778280543, 0.45454545454545453, 0.4566210045662101, 0.4587155963302752, 0.4608294930875576, 0.4629629629629629, 0.46511627906976744, 0.4672897196261682, 0.4694835680751174, 0.4716981132075471, 0.47393364928909953, 0.47619047619047616, 0.47846889952153115, 0.4807692307692307, 0.48309178743961356, 0.4854368932038835, 0.48780487804878053, 0.49019607843137253, 0.4926108374384237, 0.49504950495049505, 0.49751243781094534, 0.5, 0.5025125628140703, 0.5050505050505051, 0.5076142131979695, 0.5102040816326531, 0.5128205128205129, 0.5154639175257733, 0.5181347150259068, 0.5208333333333334, 0.5235602094240838, 0.5263157894736842, 0.5291005291005292, 0.5319148936170213, 0.53475935828877, 0.5376344086021505, 0.5405405405405405, 0.5434782608695652, 0.5464480874316939, 0.5494505494505494, 0.5524861878453039, 0.5555555555555556, 0.5586592178770949, 0.5617977528089888, 0.5649717514124294, 0.5681818181818182, 0.5714285714285714, 0.5747126436781609, 0.5780346820809249, 0.5813953488372093, 0.5847953216374269, 0.5882352941176471, 0.591715976331361, 0.5952380952380952, 0.5988023952095809, 0.6024096385542169, 0.6060606060606061, 0.6097560975609756, 0.6134969325153374, 0.6172839506172839, 0.6211180124223602, 0.625, 0.6289308176100629, 0.6329113924050632, 0.6369426751592356, 0.641025641025641, 0.6451612903225806, 0.6493506493506493, 0.6535947712418301, 0.6578947368421053, 0.6622516556291391, 0.6666666666666666, 0.6711409395973155, 0.6756756756756757, 0.6802721088435374, 0.684931506849315, 0.6896551724137931, 0.6944444444444444, 0.6993006993006994, 0.7042253521126761, 0.7092198581560284, 0.7142857142857143, 0.7194244604316548, 0.7246376811594204, 0.7299270072992701, 0.7352941176470588, 0.7407407407407407, 0.7462686567164178, 0.7518796992481203, 0.7575757575757576, 0.7633587786259541, 0.7692307692307692, 0.7751937984496123, 0.78125, 0.7874015748031495, 0.7936507936507936, 0.8, 0.8064516129032259, 0.8130081300813008, 0.819672131147541, 0.8264462809917356, 0.8333333333333334, 0.8403361344537815, 0.8474576271186441, 0.8547008547008548, 0.8620689655172414, 0.8695652173913044, 0.8771929824561404, 0.8849557522123894, 0.8928571428571428, 0.9009009009009008, 0.9090909090909091, 0.9174311926605504, 0.9259259259259258, 0.9345794392523364, 0.9433962264150942, 0.9523809523809523, 0.9615384615384615, 0.970873786407767, 0.9803921568627451, 0.9900990099009901, 1.0, 1.0101010101010102, 1.0204081632653061, 1.0309278350515465, 1.0416666666666667, 1.0526315789473684, 1.0638297872340425, 1.075268817204301, 1.0869565217391304, 1.0989010989010988, 1.1111111111111112, 1.1235955056179776, 1.1363636363636365, 1.1494252873563218, 1.1627906976744187, 1.1764705882352942, 1.1904761904761905, 1.2048192771084338, 1.2195121951219512, 1.2345679012345678, 1.25, 1.2658227848101264, 1.282051282051282, 1.2987012987012987, 1.3157894736842106, 1.3333333333333333, 1.3513513513513513, 1.36986301369863, 1.3888888888888888, 1.4084507042253522, 1.4285714285714286, 1.4492753623188408, 1.4705882352941175, 1.4925373134328357, 1.5151515151515151, 1.5384615384615383, 1.5625, 1.5873015873015872, 1.6129032258064517, 1.639344262295082, 1.6666666666666667, 1.6949152542372883, 1.7241379310344829, 1.7543859649122808, 1.7857142857142856, 1.8181818181818181, 1.8518518518518516, 1.8867924528301885, 1.923076923076923, 1.9607843137254901, 2.0, 2.0408163265306123, 2.0833333333333335, 2.127659574468085, 2.1739130434782608, 2.2222222222222223, 2.272727272727273, 2.3255813953488373, 2.380952380952381, 2.4390243902439024, 2.5, 2.564102564102564, 2.6315789473684212, 2.7027027027027026, 2.7777777777777777, 2.857142857142857, 2.941176470588235, 3.0303030303030303, 3.125, 3.2258064516129035, 3.3333333333333335, 3.4482758620689657, 3.571428571428571, 3.7037037037037033, 3.846153846153846, 4.0, 4.166666666666667, 4.3478260869565215, 4.545454545454546, 4.761904761904762, 5.0, 5.2631578947368425, 5.555555555555555, 5.88235294117647, 6.25, 6.666666666666667, 7.142857142857142, 7.692307692307692, 8.333333333333334, 9.090909090909092, 10.0, 11.11111111111111, 12.5, 14.285714285714285, 16.666666666666668, 20.0, 25.0, 33.333333333333336, 50.0, 100.0]","[0.970943737766249, 0.969399520938842, 0.9676820353935246, 0.9657604014840245, 0.96359594291699, 0.9611395620247782, 0.9583285769434043, 0.9550790256550439, 0.9512804222483399, 0.9467809767416117, 0.9413682463835502, 0.9347315017565092, 0.9264050247982915, 0.9156520689327518, 0.9012374078863787, 0.8809242004035297, 0.8502189536585982, 0.7986782760584721, 0.7979876942864613, 0.7972924866099507, 0.7965926079730902, 0.7958880127598004, 0.7951786547856221, 0.7944644872894429, 0.793745462925092, 0.793021533752806, 0.7922926512305652, 0.7915587662052913, 0.7908198289039142, 0.790075788924299, 0.7893265952260347, 0.7885721961210833, 0.7878125392642817, 0.7870475716437081, 0.7862772395708917, 0.7855014886708842, 0.7847202638721752, 0.7839335093964604, 0.7831411687482558, 0.7823431847043565, 0.7815394993031421, 0.7807300538337216, 0.7799147888249224, 0.7790936440341164, 0.7782665584358853, 0.7774334702105227, 0.7765943167323722, 0.7757490345579986, 0.774897559414192, 0.7740398261858072, 0.7731757689034294, 0.7723053207308734, 0.7714284139525108, 0.7705449799604279, 0.7696549492414081, 0.7687582513637452, 0.7678548149638832, 0.7669445677328833, 0.7660274364027189, 0.7651033467323949, 0.764172223493902, 0.7632339904579907, 0.762288570379782, 0.7613358849842043, 0.7603758549512636, 0.7594083999011453, 0.758433438379154, 0.7574508878404866, 0.7564606646348488, 0.7554626839909108, 0.7544568600006092, 0.7534431056033007, 0.7524213325697641, 0.7513914514860645, 0.7503533717372748, 0.749307001491069, 0.7482522476811878, 0.7471890159907807, 0.7461172108356419, 0.745036735347332, 0.7439474913562119, 0.7428493793743807, 0.7417422985785392, 0.7406261467927879, 0.7395008204713629, 0.7383662146813327, 0.7372222230852634, 0.7360687379238666, 0.7349056499986484, 0.7337328486545718, 0.7325502217627534, 0.7313576557032151, 0.730155035347704, 0.7289422440426103, 0.7277191635920007, 0.7264856742407974, 0.725241654658121, 0.7239869819208374, 0.7227215314973261, 0.7214451772315114, 0.720157791327187, 0.7188592443326692, 0.7175494051258202, 0.716228140899482, 0.7148953171473607, 0.7135507976504151, 0.7121944444637909, 0.7108261179043587, 0.7094456765389074, 0.7080529771730542, 0.7066478748409312, 0.705230222795718, 0.7037998725010859, 0.70235667362363, 0.7009004740263677, 0.6994311197633838, 0.6979484550757128, 0.6964523223885476, 0.6949425623098745, 0.6934190136306347, 0.6918815133265234, 0.6903298965615401, 0.6887639966934095, 0.6871836452810008, 0.685588672093883, 0.6839789051241475, 0.6823541706006612, 0.6807142930058907, 0.6790590950954718, 0.6773883979206957, 0.6757020208540871, 0.6739997816182728, 0.6722814963183341, 0.6705469794778537, 0.6687960440788792, 0.6670285016060292, 0.6652441620949843, 0.6634428341856142, 0.6616243251800061, 0.6597884411056613, 0.6579349867841585, 0.6560637659055737, 0.6541745811089699, 0.6522672340692847, 0.6503415255909513, 0.6483972557086018, 0.6464342237952209, 0.6444522286781275, 0.6424510687631736, 0.6404305421675706, 0.6383904468617573, 0.6363305808207493, 0.6342507421854128, 0.6321507294341238, 0.6300303415652895, 0.6278893782912165, 0.6257276402438263, 0.6235449291927312, 0.621341048276192, 0.6191158022454933, 0.6168689977232804, 0.6146004434764134, 0.6123099507038998, 0.6099973333404706, 0.6076624083763892, 0.6053049961940572, 0.6029259054365439, 0.6005230888807124, 0.5980972791941359, 0.5956483148899187, 0.5931760399020992, 0.590680304040618, 0.5881609634673239, 0.5856178811935472, 0.5830509275997339, 0.580459980977629, 0.5778449280954507, 0.575205664786474, 0.5725420965614074, 0.5698541392449004, 0.5671417196364806, 0.5644047761961715, 0.5616432597549817, 0.5588571342504176, 0.5560463774870915, 0.5532109819224534, 0.5503509554775988, 0.5474663223730332, 0.544557123989216, 0.541623419751624, 0.5386652880399919, 0.5356828271213371, 0.5326761561062722, 0.5296454159280479, 0.5265907703436943, 0.5235124069565438, 0.5204105382593608, 0.5172854026972245, 0.5141372657492452, 0.5109664210281428, 0.5077731913966413, 0.5045579300995949, 0.5013210219107036, 0.4980628842926314, 0.4947839685693107, 0.4914847611091646, 0.48816578451796855, 0.4848275988400208, 0.4814708027662883, 0.47809603484815927, 0.47470397471539866, 0.4712953442968969, 0.4678709090427501, 0.46443147914617744, 0.46097791076372574, 0.4575111072321502, 0.4540320202802635, 0.45054165123394424, 0.44704105221234686, 0.4435313273131756, 0.44001363378466435, 0.43648918318162266, 0.4329592425025611, 0.4294251353045131, 0.4258882427916512, 0.42235000487321755, 0.41881192118559696, 0.4152755520725365, 0.41174251951659313, 0.40821450801380643, 0.40469326538238753, 0.40118060349483947, 0.39767839892138984, 0.39418859347092505, 0.3907131946137269, 0.38725427576824506, 0.38381397643187376, 0.38039450213319675, 0.3769981241804376, 0.3736271791778459, 0.37028406827843713, 0.36697125613786585, 0.3636910060589631, 0.3604466745749998, 0.3572401795751122, 0.35407442226789576, 0.3509521766688387, 0.34787624420332824, 0.34484947019707657, 0.34187473859830847, 0.3389549658522448, 0.336093093834649, 0.33329208174445374, 0.3305548968491796, 0.32788450397128605, 0.3252838535990366, 0.32275586850229443, 0.3203034287322836, 0.3179293548853531, 0.31563638951479517, 0.3134271765827553, 0.3113042388574093, 0.30926995318041417, 0.3073265235581076, 0.3054759520693878, 0.30372000763638196, 0.3020601927739773, 0.3004977085242786, 0.29903341789520865, 0.29766780826173445, 0.2964009533556689, 0.29523247566679367, 0.29416151030348997, 0.2931865096616699, 0.2923060241243584, 0.2915170596804371, 0.2908166828435189, 0.2902012069553168, 0.28966636334346335, 0.2892073262336985, 0.28881875578079985, 0.2884948612405042, 0.28822948558326145, 0.28801621172901337, 0.28784848901511345, 0.28771977650392655, 0.28762369738472165, 0.28755419623781825, 0.2875056886632305, 0.2874731912292325, 0.2874524194586002, 0.2874398432054292, 0.28743269262667254, 0.2874289138992484, 0.2874270810774853, 0.2874262775003929, 0.2874259649557963, 0.2874258595971269, 0.2874258296968333, 0.2874258228103694, 0.287425821582015, 0.2874258214222551, 0.2874258214082527, 0.28742582140750733, 0.2874258214074867, 0.2874258214074865, 0.2874258214074865, 0.2874258214074865, 0.2874258214074865, 0.2874258214074865, 0.2874258214074865, 0.2874258214074865, 0.2874258214074865, 0.2874258214074865, 0.2874258214074865, 0.2874258214074865, 0.2874258214074865]"
0,2,"[0.78125, 0.7874015748031495, 0.7936507936507936, 0.8, 0.8064516129032259, 0.8130081300813008, 0.819672131147541, 0.8264462809917356, 0.8333333333333334, 0.8403361344537815, 0.8474576271186441, 0.8547008547008548, 0.8620689655172414, 0.8695652173913044, 0.8771929824561404, 0.8849557522123894, 0.8928571428571428, 0.9009009009009008, 0.9090909090909091, 0.9174311926605504, 0.9259259259259258, 0.9345794392523364, 0.9433962264150942, 0.9523809523809523, 0.9615384615384615, 0.970873786407767, 0.9803921568627451, 0.9900990099009901, 1.0, 1.0101010101010102, 1.0204081632653061, 1.0309278350515465, 1.0416666666666667, 1.0526315789473684, 1.0638297872340425, 1.075268817204301, 1.0869565217391304, 1.0989010989010988, 1.1111111111111112, 1.1235955056179776, 1.1363636363636365, 1.1494252873563218, 1.1627906976744187, 1.1764705882352942, 1.1904761904761905, 1.2048192771084338, 1.2195121951219512, 1.2345679012345678, 1.25, 1.2658227848101264, 1.282051282051282, 1.2987012987012987, 1.3157894736842106, 1.3333333333333333, 1.3513513513513513, 1.36986301369863, 1.3888888888888888, 1.4084507042253522, 1.4285714285714286, 1.4492753623188408, 1.4705882352941175, 1.4925373134328357, 1.5151515151515151, 1.5384615384615383, 1.5625, 1.5873015873015872, 1.6129032258064517, 1.639344262295082, 1.6666666666666667, 1.6949152542372883, 1.7241379310344829, 1.7543859649122808, 1.7857142857142856, 1.8181818181818181, 1.8518518518518516, 1.8867924528301885, 1.923076923076923, 1.9607843137254901, 2.0, 2.0408163265306123, 2.0833333333333335, 2.127659574468085, 2.1739130434782608, 2.2222222222222223, 2.272727272727273, 2.3255813953488373, 2.380952380952381, 2.4390243902439024, 2.5, 2.564102564102564, 2.6315789473684212, 2.7027027027027026, 2.7777777777777777, 2.857142857142857, 2.941176470588235, 3.0303030303030303, 3.125, 3.2258064516129035, 3.3333333333333335, 3.4482758620689657, 3.571428571428571, 3.7037037037037033, 3.846153846153846, 4.0, 4.166666666666667, 4.3478260869565215, 4.545454545454546, 4.761904761904762, 5.0, 5.2631578947368425, 5.555555555555555, 5.88235294117647, 6.25, 6.666666666666667, 7.142857142857142, 7.692307692307692, 8.333333333333334, 9.090909090909092, 10.0, 11.11111111111111, 12.5, 14.285714285714285, 16.666666666666668, 20.0, 25.0, 33.333333333333336, 50.0, 100.0]","[0.4723755036029416, 0.4702577342929884, 0.467917996688242, 0.4661477763423523, 0.46416811394968593, 0.4621680324041228, 0.46022372843752235, 0.458291816570102, 0.4564240730379181, 0.45458572541747194, 0.452694507982586, 0.4509090504717019, 0.4491547736620073, 0.4473792044709808, 0.4457092049932117, 0.44403212423874805, 0.44238028109881866, 0.4407732639720492, 0.43921732590153467, 0.4376857696097281, 0.4362381112617034, 0.43476283550080547, 0.4333887987197241, 0.4320600290070601, 0.43076208529947047, 0.4294826777738243, 0.4283152956598394, 0.4271547182041984, 0.42606916474098677, 0.4250488319694535, 0.42408344846012325, 0.42315510115044797, 0.42232429613198447, 0.421540381783401, 0.4208298661853367, 0.4201713588258485, 0.4196486186236842, 0.4191081911615631, 0.41872335647944187, 0.41837426498824626, 0.41813496225605384, 0.41795559788216907, 0.4178613763381925, 0.4178679658840013, 0.4179478613710483, 0.41813538579088255, 0.41843089553851176, 0.4188148894562469, 0.4193037133483638, 0.41989448452489664, 0.4206126062397284, 0.4214188684023801, 0.42232940316920853, 0.4233790375798181, 0.4245189882078716, 0.42582262363682644, 0.4272122702197547, 0.42875635487029784, 0.4303774102001722, 0.43216304020355273, 0.43408726926426383, 0.4361212101363744, 0.4383233843891045, 0.4406576412208597, 0.44311522771108036, 0.4457094158346234, 0.44846047428929664, 0.45135947945804333, 0.45438669974342266, 0.4575738917303433, 0.46086555415583663, 0.4643313195924839, 0.46794120092999664, 0.4716525148712942, 0.4755183252390756, 0.4795257734696383, 0.4836553372783339, 0.4878767988259629, 0.49222556028266934, 0.49666182927352054, 0.5011691397010909, 0.5057994981479198, 0.5104518663685995, 0.5151465100233514, 0.5198643846579686, 0.5245834676067139, 0.5292546584104452, 0.5338527749589808, 0.5383671492603945, 0.5427589858297153, 0.5469545071315797, 0.550954646987488, 0.5546829276632055, 0.5581504071486378, 0.5612733722870962, 0.5640646804750602, 0.5665037825061456, 0.568566716863908, 0.5702682214852204, 0.5716298828756733, 0.572680749242338, 0.5734563692742117, 0.5740019950251846, 0.5743665485820162, 0.5745940542173353, 0.5747255272188178, 0.574796650955387, 0.5748303169027631, 0.5748446289137151, 0.5748498476744605, 0.5748513584150111, 0.5748511392570719, 0.5748518749603715, 0.5748513762231601, 0.5748519086625138, 0.5748518995073861, 0.5748518625447975, 0.5748519054539982, 0.5748518415242829, 0.5748519090441103, 0.5748518353523858, 0.5748519109155118, 0.5748519146886765, 0.5748519106566051, 0.5748518873305112, 0.5748516953193804, 0.5748512874405913, 0.5748513306642837]"
