n,energy,energy_samples,energy_std
74,0.6939113319244139,999,0.033687554266689006
139,0.7205061836832616,1000,0.019837156720641236
262,0.7358922876936902,1000,0.011136947938185206
491,0.7452162779914222,1108,0.007137487584663458
920,0.7513305075960213,598,0.004549857183370549
