n,h,energy,transient,c,seed_J,seed_x,not_converged,c1,c2,clarge
400,2.1307692307692307,-0.48085366103695915,342.0,4.0,57319.0,55691.5,0.0,0.0,0.0,1.0
400,2.3846153846153846,-0.38159100585824846,407.0,6.0,46030.0,51679.0,0.0,0.0,0.0,1.0
400,2.6384615384615384,-0.2788824794732082,421.0,4.0,49628.0,46818.0,0.0,0.0,0.0,1.0
400,2.8923076923076922,-0.14005524432008182,189.0,4.0,53040.5,57681.5,0.0,0.0,0.0,1.0
400,3.146153846153846,-0.06554131189205514,73.0,4.0,51698.0,43730.0,0.0,0.0,0.0,1.0
400,3.4,-0.03087464173779731,41.0,2.0,44688.5,48248.5,0.0,0.0,1.0,0.0
400,3.6538461538461537,-0.011707074284457789,35.0,2.0,50484.0,43191.5,0.0,0.0,1.0,0.0
400,3.9076923076923076,0.005004101721643316,29.0,2.0,50583.0,43936.0,0.0,0.0,1.0,0.0
400,4.161538461538461,-0.008820664205882865,27.0,2.0,52365.5,44371.5,0.0,0.0,1.0,0.0
400,4.415384615384615,-0.01788009046368807,29.0,2.0,47821.5,55988.5,0.0,0.0,1.0,0.0
400,4.669230769230769,-0.014497768340796933,27.0,2.0,53273.5,46029.5,0.0,0.0,1.0,0.0
400,4.9230769230769225,0.019159570708253915,27.0,2.0,48781.0,51325.5,0.0,0.0,1.0,0.0
400,5.176923076923076,-0.012776466076679444,27.0,2.0,53984.5,53039.5,0.0,0.0,1.0,0.0
400,5.43076923076923,-0.016467145906833493,27.0,2.0,47408.0,44983.0,0.0,0.0,1.0,0.0
400,5.684615384615384,0.0008457543891744884,25.0,2.0,42131.0,50254.5,0.0,0.0,1.0,0.0
400,5.938461538461538,-0.008510480976798553,25.0,2.0,41169.0,50236.0,0.0,0.0,1.0,0.0
400,6.192307692307692,0.00220458101316258,25.0,2.0,50218.5,46828.5,0.0,0.0,1.0,0.0
400,6.4461538461538455,-0.02625069190773037,27.0,2.0,50854.0,45695.5,0.0,0.0,1.0,0.0
400,6.699999999999999,-0.008229282017919509,25.0,2.0,52977.5,42376.5,0.0,0.0,1.0,0.0
400,6.953846153846153,0.008036654026499805,25.0,2.0,46088.0,47223.5,0.0,0.0,1.0,0.0
400,7.207692307692307,-0.01572466065202907,28.0,2.0,52237.0,52555.5,0.0,0.0,1.0,0.0
400,7.461538461538461,-0.009168898118855883,25.0,2.0,52067.0,52031.0,0.0,0.0,1.0,0.0
400,7.715384615384615,0.0038776148787669617,27.0,2.0,47493.0,46107.0,0.0,0.0,1.0,0.0
400,7.9692307692307685,0.02819077039009959,27.0,2.0,53744.5,45707.5,0.0,0.0,1.0,0.0
400,8.223076923076922,-0.00438063371072913,27.0,2.0,48606.5,53166.0,0.0,0.0,1.0,0.0
400,8.476923076923077,0.00699537764625038,27.0,2.0,45924.0,49004.0,0.0,0.0,1.0,0.0
400,8.73076923076923,0.00990108151282659,27.0,2.0,50614.5,48850.5,0.0,0.0,1.0,0.0
