c,h,energy,transient,seed_J,seed_x,n
1,-0.1,-0.7040867258242016,4.906,51828.744,49814.406,20.0
1,-0.08000000000000002,-0.6903171231070901,4.98,48184.682,49912.878,20.0
1,-0.060000000000000026,-0.6889244742085004,4.972,51267.31,50721.93,20.0
1,-0.040000000000000036,-0.6801325493390652,5.042,49963.992,50536.072,20.0
1,-0.020000000000000046,-0.6674570195945804,4.986,50135.992,48435.372,20.0
1,-5.551115123125783e-17,-0.6616208872285446,5.1,51509.288,47744.784,20.0
1,0.019999999999999934,-0.6589560071052617,5.04,48470.462,51261.996,20.0
1,0.020833333333333332,-0.6607831032718114,5.06,51383.371,49866.94,20.0
1,0.041666666666666664,-0.6510591508241983,5.014,48553.009,49855.29,20.0
1,0.0625,-0.6468030091309702,4.99,48869.667,49848.361,20.0
1,0.08333333333333333,-0.6361513530676839,4.929,51229.85,50170.221,20.0
1,0.10416666666666666,-0.6329288726573763,4.941,49881.703,50652.138,20.0
1,0.125,-0.6255905994814642,4.956,51136.113,49005.492,20.0
1,0.14583333333333331,-0.6228356718974978,4.854,52485.864,48717.939,20.0
1,0.16666666666666666,-0.6188043592117973,4.909,50991.984,49060.257,20.0
1,0.1875,-0.6145212230640775,4.813,49248.512,49569.241,20.0
1,0.20833333333333331,-0.602822682893064,4.728,49932.021,49574.285,20.0
1,0.22916666666666666,-0.5997139540265907,4.754,49696.006,50675.956,20.0
1,0.25,-0.5965388253948349,4.753,49884.366,49146.476,20.0
1,0.2708333333333333,-0.5935870276031415,4.593,50591.349,50235.967,20.0
1,0.29166666666666663,-0.5865090007097148,4.582,50543.457,49028.961,20.0
1,0.3125,-0.5712864449881447,4.447,50849.743,48806.188,20.0
1,0.3333333333333333,-0.5720010192491685,4.414,50784.267,50254.433,20.0
1,0.35416666666666663,-0.5703064583189855,4.413,50813.749,50315.225,20.0
1,0.375,-0.5590607004489215,4.244,49927.649,50878.862,20.0
1,0.3958333333333333,-0.5610698394525685,4.251,48723.793,47491.766,20.0
1,0.41666666666666663,-0.5489338178787032,4.174,50343.304,50847.187,20.0
1,0.4375,-0.539977409153198,4.013,48462.662,50720.235,20.0
1,0.4583333333333333,-0.5351632539079468,3.848,49142.59,49773.737,20.0
1,0.47916666666666663,-0.5283684332510515,3.844,50651.79,49672.164,20.0
1,0.5,-0.5363056130442927,3.78,49803.166,50161.088,20.0
2,0.020833333333333332,0.02827245956850869,5.149,49960.328,49579.371,20.0
2,0.041666666666666664,0.02279225702333134,5.146,48270.358,50852.21,20.0
2,0.0625,-0.008805495468068166,5.122,50310.648,50519.024,20.0
2,0.08333333333333333,-0.03049964057010896,5.109,48835.694,50269.973,20.0
2,0.10416666666666666,-0.04336211948184886,5.051,51943.847,48791.513,20.0
2,0.125,-0.05036292539611627,5.092,48815.96,48830.585,20.0
2,0.14583333333333331,-0.07059394979298056,5.022,49806.986,51425.828,20.0
2,0.16666666666666666,-0.08732967246118835,4.999,49158.774,49702.327,20.0
2,0.1875,-0.09513140811561947,5.07,50495.824,49230.922,20.0
2,0.20833333333333331,-0.08267850175188063,5.008,50534.104,49660.724,20.0
2,0.22916666666666666,-0.10297994546280147,5.027,50906.914,49965.564,20.0
2,0.25,-0.11633164076228596,5.051,49609.403,48811.148,20.0
2,0.2708333333333333,-0.12481043884766763,4.973,50172.508,50082.02,20.0
2,0.29166666666666663,-0.10982406632590923,4.948,48368.381,50322.956,20.0
2,0.3125,-0.1353379887843039,4.948,49267.254,51204.428,20.0
2,0.3333333333333333,-0.13670169601223525,4.901,49629.868,49283.627,20.0
2,0.35416666666666663,-0.1316113464059169,4.84,50689.76,50419.164,20.0
2,0.375,-0.14274866252430907,4.842,50276.118,49444.465,20.0
2,0.3958333333333333,-0.1415094215692392,4.765,50835.831,49688.138,20.0
2,0.41666666666666663,-0.13617031275328573,4.732,50528.809,50147.917,20.0
2,0.4375,-0.13280095431149158,4.686,51705.474,49950.942,20.0
2,0.4583333333333333,-0.14852271719763774,4.635,50926.83,50920.592,20.0
2,0.47916666666666663,-0.14121115803047332,4.623,51174.029,47640.464,20.0
2,0.5,-0.1369848697725591,4.616,48624.742,49768.208,20.0
