c,h,energy,transient,seed_J,seed_x,n
1,0.020833333333333332,-0.6998665614119937,6.584708948740226,49060.28410078193,49142.54735013032,80.0
1,0.041666666666666664,-0.6924590674923287,6.633680555555555,50981.80034722222,48996.89236111111,80.0
1,0.0625,-0.6877217239858546,6.572173913043478,51123.98086956522,49638.16,80.0
1,0.08333333333333333,-0.6786066095937241,6.578125,50922.869791666664,51891.868055555555,80.0
1,0.10416666666666666,-0.6713153075862253,6.5916594265855775,49113.436142484796,50684.27106863597,80.0
1,0.125,-0.666837499007901,6.519965277777778,50863.99565972222,49071.309895833336,80.0
1,0.14583333333333331,-0.6590818514274555,6.537793223284101,48528.18245004344,50646.772371850566,80.0
1,0.16666666666666666,-0.6527122010163239,6.550434782608695,50535.47913043478,49174.44,80.0
1,0.1875,-0.6476860941574587,6.497395833333333,50473.866319444445,49822.81597222222,80.0
1,0.20833333333333331,-0.6404284247496191,6.407986111111111,49212.3515625,50002.47222222222,80.0
1,0.22916666666666666,-0.6337522049245982,6.368375325803649,51523.75152041703,48820.2606429192,80.0
1,0.25,-0.6301109568300755,6.372719374456994,49891.46394439618,49093.92875760209,80.0
1,0.2708333333333333,-0.6216195000618024,6.30702515177797,49447.783174327844,49593.53339115351,80.0
1,0.29166666666666663,-0.6182928622699252,6.275173611111111,49585.71440972222,49856.34982638889,80.0
1,0.3125,-0.6109839837638715,6.196707105719238,50758.326689774694,49364.13864818024,80.0
1,0.3333333333333333,-0.6082966612613735,6.072790294627383,50520.80242634315,50322.63258232236,80.0
1,0.35416666666666663,-0.5995018573648188,6.07105719237435,49465.07365684575,49962.96533795494,80.0
1,0.375,-0.5958072340198213,5.969618055555555,50112.83767361111,51306.90625,80.0
1,0.3958333333333333,-0.5890599653250322,5.824500434404865,50074.42050390964,50926.72545612511,80.0
1,0.41666666666666663,-0.5825281813436265,5.714409722222222,50024.697916666664,47947.380208333336,80.0
1,0.4375,-0.5768728649672473,5.651909722222222,49918.694444444445,50633.74392361111,80.0
1,0.4583333333333333,-0.5727276143164478,5.503040834057342,51630.80364900087,50003.88618592528,80.0
1,0.47916666666666663,-0.5652169155503296,5.399826539462272,49255.47181266262,49843.957502168254,80.0
1,0.5,-0.5625842046411701,5.281629116117851,49612.071923743504,51358.14991334489,80.0
2,0.020833333333333332,-0.04031055225474321,6.451476793248945,49107.68987341772,49640.1582278481,80.0
2,0.041666666666666664,-0.05878347572585716,6.534810126582278,49827.95569620253,49751.90400843882,80.0
2,0.0625,-0.10055494029498899,6.4789029535864975,50245.09282700422,49279.08860759494,80.0
2,0.08333333333333333,-0.13596953704642878,6.444092827004219,49718.93565400844,50167.534810126584,80.0
2,0.10416666666666666,-0.17050116263547843,6.443037974683544,50173.9694092827,49822.77320675105,80.0
2,0.125,-0.19729972414726982,6.438818565400844,49145.05168776371,50645.13396624473,80.0
2,0.14583333333333331,-0.22734575296800008,6.514767932489452,50986.52320675105,50601.93459915612,80.0
2,0.16666666666666666,-0.24295156305582305,6.473628691983122,49840.879746835446,48559.48523206751,80.0
2,0.1875,-0.2766740691534405,6.522151898734177,49793.416666666664,48589.31856540084,80.0
2,0.20833333333333331,-0.3014635403114901,6.479957805907173,49137.834388185656,48961.330168776374,80.0
2,0.22916666666666666,-0.31971732100539374,6.457805907172996,49387.60548523207,50207.58860759494,80.0
2,0.25,-0.33381233409450667,6.465189873417722,47239.419831223626,49290.76793248945,80.0
2,0.2708333333333333,-0.34423891861724304,6.4451476793248945,52271.196202531646,50550.83966244726,80.0
2,0.29166666666666663,-0.3649226810027685,6.425105485232067,50930.93459915612,50177.8470464135,80.0
2,0.3125,-0.36678910201498693,6.40295358649789,51448.101265822785,50368.919831223626,80.0
2,0.3333333333333333,-0.37842498339275815,6.4071729957805905,50898.50105485232,50393.6835443038,80.0
2,0.35416666666666663,-0.38115010397490817,6.34704641350211,49435.02637130802,48142.86392405063,80.0
2,0.375,-0.39173005405255856,6.381856540084388,49530.648734177215,49113.2246835443,80.0
2,0.3958333333333333,-0.38746719355109244,6.325949367088608,49380.67405063291,51011.04852320675,80.0
2,0.41666666666666663,-0.3930184586847565,6.2521097046413505,51419.43459915612,48620.05168776371,80.0
2,0.4375,-0.388180612799825,6.236286919831223,48522.196202531646,47964.63185654009,80.0
2,0.4583333333333333,-0.385053468330521,6.175105485232067,51245.58966244726,50203.1635021097,80.0
2,0.47916666666666663,-0.3834195637979693,6.114978902953586,50234.93143459916,51380.57805907173,80.0
2,0.5,-0.3837475697748914,6.034810126582278,50200.65189873418,48146.2447257384,80.0
