n,h,energy,transient,c,seed_J,seed_x,e1,e2
100,-0.6,0.5342096342422595,6.06375,2.0,47307.0125,48821.59375,0.5340319453121225,0.5340319453121225
100,-0.5932584269662922,0.5387104375035153,6.10375,2.0,50848.7,49868.37125,0.5381142375539493,0.5381142375539493
100,-0.5865168539325842,0.5406979188091207,6.20625,2.0,49170.58375,49903.52,0.5399879202314268,0.5399879202314268
100,-0.5797752808988764,0.5430616558341003,6.2125,2.0,49442.6475,49817.315,0.5432211756662009,0.5432211756662009
100,-0.5730337078651685,0.5429521770178435,6.28,2.0,49522.945,49361.6425,0.5437909375265436,0.5437909375265436
100,-0.5662921348314607,0.5420524253644172,6.27625,2.0,51186.72625,51404.81375,0.5414613970266764,0.5414613970266764
100,-0.5595505617977528,0.5474685695510529,6.44,2.0,51696.85375,50918.46125,0.5471949554986247,0.5471949554986247
100,-0.5528089887640449,0.5508081435822283,6.43875,2.0,50109.1725,51082.66625,0.5509950184467317,0.5509950184467317
100,-0.546067415730337,0.5510719704996923,6.3525,2.0,49742.11625,50496.69125,0.5511758940682343,0.5511758940682343
100,-0.5393258426966292,0.5531009840258467,6.485,2.0,48107.1775,49998.07,0.5532681930396107,0.5532681930396107
100,-0.5325842696629213,0.556148054405616,6.57,2.0,49487.25375,49753.54875,0.5558369348574899,0.5558369348574899
100,-0.5258426966292135,0.5608679599096985,6.67,2.0,50765.4875,50653.45,0.5606667220043713,0.5606667220043713
100,-0.5191011235955056,0.5596500394052157,6.66875,2.0,49739.58375,49841.24875,0.5590941929945961,0.5590941929945961
100,-0.5123595505617977,0.5597868661625444,6.6825,2.0,51089.245,51106.97,0.5599858323323488,0.5599858323323488
100,-0.5056179775280899,0.5638469031432708,6.84125,2.0,48709.91,48679.06875,0.563653408635156,0.563653408635156
100,-0.498876404494382,0.5655442655533413,6.81875,2.0,50331.76125,49604.01375,0.5661324095128223,0.5661324095128223
100,-0.49213483146067416,0.568185873281007,6.9975,2.0,48581.05875,49753.55625,0.5685248755716684,0.5685248755716684
100,-0.48539325842696623,0.5697318494341277,6.935,2.0,50321.3625,48825.08,0.5692521703515736,0.5692521703515736
100,-0.4786516853932584,0.5739111583457668,7.1475,2.0,49279.055,51232.87125,0.5734934672508996,0.5734934672508996
100,-0.47191011235955055,0.5742591680476223,7.1975,2.0,49967.1,49248.235,0.5746699047031737,0.5746699047031737
100,-0.4651685393258427,0.5797075324568546,7.2475,2.0,48592.33875,49333.9025,0.5794310695183758,0.5794310695183758
100,-0.4584269662921348,0.5779178244103028,7.33875,2.0,48926.7575,49743.44,0.5774652876043178,0.5774652876043178
100,-0.45168539325842694,0.5836035068424416,7.42125,2.0,49752.81125,49744.14,0.5837165025997214,0.5837165025997214
100,-0.44494382022471907,0.5828616238645675,7.4825,2.0,48227.325,50868.535,0.5833196383560112,0.5833196383560112
100,-0.4382022471910112,0.5862895151139631,7.6875,2.0,48548.2225,48930.935,0.5862880600725935,0.5862880600725935
100,-0.4314606741573034,0.5851533995589868,7.6625,2.0,48766.00125,49841.5075,0.5855883596370535,0.5855883596370535
100,-0.42471910112359545,0.5887607605390094,7.80625,2.0,49326.24625,49540.41625,0.5893087020491127,0.5892804378611163
100,-0.41797752808988764,0.5912780810081224,7.99375,2.0,49067.71125,52685.83875,0.5917701043614954,0.5917681954663155
100,-0.4112359550561797,0.5936971576759918,8.1,2.0,48817.78875,48645.445,0.5935326588817896,0.5936027835735899
100,-0.4044943820224719,0.5968274912438954,8.205,2.0,50373.27625,51478.57625,0.596863739126836,0.5968457652473044
100,-0.39775280898876403,0.5994990339098883,8.40875,2.0,51742.48,50401.71625,0.5993595851559327,0.5993777466023223
100,-0.39101123595505616,0.5981876789886246,8.37375,2.0,51303.77375,49561.8,0.5979807774338467,0.5980386596937122
100,-0.3842696629213483,0.6005187368666377,8.7175,2.0,48007.855,49979.06,0.6005791871073018,0.600699299600422
100,-0.3775280898876404,0.6010435314500914,8.80875,2.0,49098.275,49148.53875,0.6009614342098909,0.6010657793694767
100,-0.37078651685393255,0.6070915314288405,8.9775,2.0,48461.27125,50390.70125,0.6078752845226705,0.6078857596835308
100,-0.3640449438202247,0.6092146509742925,9.24,2.0,49522.0275,49480.39125,0.6088091871135635,0.608788196784581
100,-0.35730337078651686,0.6055709450917282,9.31,2.0,48991.66125,49462.03125,0.6055309484510624,0.6055524165028084
100,-0.35056179775280893,0.6130073358388873,9.50375,2.0,49844.89125,49658.19625,0.6128219961932658,0.6127088320689371
100,-0.3438202247191011,0.6102146254866979,9.65,2.0,50593.03625,50644.38375,0.6096081176793946,0.6100034710473576
100,-0.33707865168539325,0.6109906981057788,10.11125,2.0,49596.64875,50219.135,0.6104986944373764,0.6100639362587034
100,-0.3303370786516854,0.6140274929152231,10.3175,2.0,50499.2575,50034.58625,0.6134333916703053,0.6134902409149133
100,-0.3235955056179775,0.6134658717114982,10.45625,2.0,49203.72375,48500.3625,0.6136438571501842,0.6137858530569532
100,-0.31685393258426964,0.6135055712879587,10.705,2.0,48519.25625,49715.06375,0.6133120829997981,0.6133424642196976
100,-0.31011235955056177,0.6148107294873987,10.81,2.0,49586.845,49940.77,0.6154439609018176,0.61571007665578
100,-0.3033707865168539,0.6175503741446228,11.12625,2.0,52415.76,50023.15875,0.6170693234635702,0.6174019995883921
100,-0.296629213483146,0.6119267181890019,11.525,2.0,49495.90375,50907.205,0.6116657952989707,0.6123015374032662
100,-0.28988764044943816,0.6127301525463331,11.74,2.0,50652.3325,49961.95625,0.6131346137337756,0.6133340906696214
