n,h,energy,transient,c,seed_J,seed_x,not_converged,c1,c2,clarge
400,1.1153846153846154,-0.6819530618864007,79.23125,4.38125,46200.025,49919.8625,0.0,0.00625,0.70625,0.2875
400,1.3692307692307693,-0.6550231384295995,138.4875,6.3375,52910.61875,48801.00625,0.0,0.0,0.55625,0.44375
400,1.623076923076923,-0.613319210602152,238.4125,15.15,49853.79375,55321.9625,0.0,0.0,0.3875,0.6125
400,1.876923076923077,-0.5642888056087388,402.08125,19.8625,50937.49375,53171.9375,0.0,0.0,0.3375,0.6625
400,2.1307692307692307,-0.4795068692922218,951.5375,123.1025641025641,54300.425,55359.40625,0.025,0.0,0.25625,0.71875
400,2.3846153846153846,-0.3786089334679919,1552.13125,139.28,49888.10625,51260.99375,0.0625,0.0,0.1875,0.75
400,2.6384615384615384,-0.26861243065226514,1824.5125,126.81379310344828,48555.975,46579.83125,0.09375,0.0,0.225,0.68125
400,2.8923076923076922,-0.1287217737905771,1022.95,96.26490066225166,52432.90625,53801.44375,0.05625,0.0,0.35,0.59375
400,3.146153846153846,-0.04658232273868776,182.21875,13.8875,51992.325,46916.14375,0.0,0.0,0.48125,0.51875
400,3.4,-0.02721425005932827,51.36875,3.425,46407.975,50095.125,0.0,0.0,0.61875,0.38125
400,3.6538461538461537,-0.006657874629609879,36.86875,2.6,50615.43125,46573.85,0.0,0.0,0.80625,0.19375
400,3.9076923076923076,-0.002504085855047918,31.85,2.2625,51967.0,46517.35625,0.0,0.0,0.8875,0.1125
400,4.161538461538461,-0.0029477409522388727,29.0,2.075,51229.9625,48021.6,0.0,0.0,0.9625,0.0375
400,4.415384615384615,-0.0036540788419170515,29.825,2.0375,50070.15,52762.325,0.0,0.0,0.98125,0.01875
400,4.669230769230769,-0.022664505111326456,28.15,2.0,52226.625,47116.76875,0.0,0.0,1.0,0.0
400,4.9230769230769225,0.004249958400537151,28.1875,2.0,51873.7375,51668.10625,0.0,0.0,1.0,0.0
400,5.176923076923076,-0.023263373983866707,27.5125,2.0,53646.70625,50474.7,0.0,0.0,1.0,0.0
400,5.43076923076923,-0.013756400796812446,28.4625,2.0,48926.01875,49330.675,0.0,0.0,1.0,0.0
400,5.684615384615384,-0.011980371943437628,26.9375,2.0,45829.05,50397.74375,0.0,0.0,1.0,0.0
400,5.938461538461538,0.011222660638536606,27.8375,2.0,45416.55625,50142.45625,0.0,0.0,1.0,0.0
400,6.192307692307692,0.005083373130703966,27.55,2.0,50647.58125,49188.7125,0.0,0.0,1.0,0.0
400,6.4461538461538455,-0.022234199296744635,28.4875,2.0,50250.1625,48602.8875,0.0,0.0,1.0,0.0
400,6.699999999999999,0.00047391624916078825,26.275,2.0,49752.43125,47498.81875,0.0,0.0,1.0,0.0
400,6.953846153846153,1.0402824202833957e-05,27.4875,2.0,48776.4375,48049.525,0.0,0.0,1.0,0.0
400,7.207692307692307,-0.015689097137801974,28.4375,2.0,50577.99375,52412.39375,0.0,0.0,1.0,0.0
400,7.461538461538461,-0.01032198393078122,27.725,2.0,49509.33125,49290.5625,0.0,0.0,1.0,0.0
400,7.715384615384615,0.007741985870920623,27.8125,2.0,49987.15,49897.69375,0.0,0.0,1.0,0.0
400,7.9692307692307685,0.01885726821736881,28.6375,2.0,53479.80625,47901.5375,0.0,0.0,1.0,0.0
400,8.223076923076922,-0.011659317669126507,28.1,2.0,50158.95,51047.31875,0.0,0.0,1.0,0.0
400,8.476923076923077,0.002717415050471993,28.3,2.0,47004.69375,47518.54375,0.0,0.0,1.0,0.0
400,8.73076923076923,0.007023911411547279,28.575,2.0,49161.99375,47868.525,0.0,0.0,1.0,0.0
400,8.984615384615383,0.004423739099405369,27.1,2.0,51410.5375,46216.6125,0.0,0.0,1.0,0.0
400,9.238461538461538,0.015195561509242833,28.875,2.0,48747.91875,51868.275,0.0,0.0,1.0,0.0
400,9.492307692307692,-0.02006553985233806,28.8,2.0,49588.98125,47079.48125,0.0,0.0,1.0,0.0
400,9.746153846153845,-0.004601271927545539,27.175,2.0,49781.3625,51899.65625,0.0,0.0,1.0,0.0
400,10.0,-0.0017565697765872274,28.8875,2.0,54998.8,51105.66875,0.0,0.0,1.0,0.0
800,0.1,-0.7026978551345189,726.03125,1.25625,49790.1125,50949.13125,0.0,0.875,0.0875,0.0375
800,0.3538461538461538,-0.7040102437277725,121.74375,1.875,54756.425,53947.40625,0.0,0.3625,0.55625,0.08125
800,0.6076923076923076,-0.704869445108776,97.11875,2.75625,52455.4,47153.04375,0.0,0.06875,0.7,0.23125
800,0.8615384615384615,-0.7007872727444693,145.7625,4.74375,49092.225,51114.1375,0.0,0.00625,0.675,0.31875
800,1.1153846153846154,-0.6902944947892058,351.35,7.225,47568.325,49317.34375,0.0,0.0,0.525,0.475
800,1.3692307692307693,-0.6643020458088509,678.86875,32.7375,49220.2125,47818.075,0.0,0.0,0.26875,0.73125
800,1.623076923076923,-0.6258995913760023,1314.38125,31.464052287581698,50607.08125,47722.40625,0.04375,0.0,0.2625,0.69375
800,1.876923076923077,-0.5707581055789059,2437.5625,197.7902097902098,47724.7375,48800.95625,0.10625,0.0,0.16875,0.725
