h,energy_0,energy_1,energy_2,energy_3,energy_4,energy_5,energy_6,energy_10,energy_20,energy_50,energy_150,energy_390
0.0,0.00011123932767812725,0.0009332326877313827,0.000549080598692214,0.0004930803461973809,0.0004892060208578014,0.0007184908713031816,0.0005916895113414209,0.0007251447582188081,0.0011428334619247088,,,
0.02040816326530612,-0.0002880740073618544,-0.012841376625615184,-0.021767290214235263,-0.028939850511048797,-0.033913762889342794,-0.037674164372125105,-0.04077166269169014,-0.05004227823908019,-0.0617070337243849,,,
0.04081632653061224,-0.00026733144866735104,-0.026179966968934345,-0.04437534030296612,-0.05745492001385271,-0.06824150340628704,-0.07684786658071337,-0.0833212440261447,-0.1016639823091643,-0.12470679036297926,,,
0.061224489795918366,0.0001327843436140775,-0.038277279377161764,-0.06550270779903695,-0.08645486122833829,-0.10125509931464864,-0.11431573160678926,-0.12406404761722682,-0.1527885854387975,-0.187205033390917,,,
0.08163265306122448,-0.00011813434244545218,-0.05247512934215545,-0.08860364328694831,-0.11625291761628376,-0.1367728181690897,-0.15355088828700048,-0.16714484100144586,-0.20594329043650503,-0.25395486134472417,,,
0.1020408163265306,-0.0002082797621621626,-0.06441879190229549,-0.10948141281769402,-0.1435522537675858,-0.16938292633911692,-0.19073713393282585,-0.20786197831339,-0.25577259977911115,-0.31694622962566016,,,
0.12244897959183673,0.00028816119278578803,-0.07717487393537589,-0.1308203497453204,-0.17283347942878424,-0.20366394512488445,-0.22912591485718084,-0.2493286605559268,-0.3077051583516714,-0.38488861111362926,,,
0.14285714285714285,0.00014978882148018754,-0.09028060949063621,-0.15325116831276747,-0.2003500275289921,-0.23663965141845997,-0.26627493331254104,-0.29038458482214824,-0.3589387306926628,-0.45101643601511915,,,
0.16326530612244897,-6.294804379189758e-05,-0.10169683407864526,-0.17259518269855884,-0.22681865371315438,-0.2683395136984649,-0.30238475700055295,-0.33016675170474014,-0.40919106450176235,-0.5171089290341145,,,
0.18367346938775508,7.801942919423354e-05,-0.11459598385333418,-0.1942685631797468,-0.2539162426996736,-0.2999940664926045,-0.3381109748627494,-0.3692320363353325,-0.4591097810660196,-0.5850103112089899,,,
0.2040816326530612,-0.0001799636885075765,-0.1264019147378479,-0.21395039298877075,-0.28022522559016255,-0.3313122272537087,-0.37293004791254875,-0.40738543788249315,-0.5061999867986756,-0.637198537232468,,,
0.22448979591836732,5.238426753970697e-05,-0.1388737720037721,-0.2347565534337081,-0.3068794877574519,-0.36161952432422595,-0.4066923584830042,-0.4435606215970281,-0.5495675663445228,-0.6608629624724487,,,
0.24489795918367346,8.649637654286342e-05,-0.1500076816952279,-0.25290472709957884,-0.3295437115058048,-0.3888762945098908,-0.4369866998796137,-0.47675466548933987,-0.5866405453900869,-0.6607450303518742,,,
0.26530612244897955,-5.69828085091408e-06,-0.16086997019463725,-0.27123056260676454,-0.3526942235914617,-0.4154301783857158,-0.46600506972179656,-0.5076408450881232,-0.614948335357066,-0.6551524563646364,,,
0.2857142857142857,0.00044916094171437146,-0.17169988899078725,-0.28940356576078374,-0.3756484467149111,-0.4415984429023908,-0.4942627689825333,-0.5359686607681917,-0.6302615539717982,-0.6492729691895408,,,
0.3061224489795918,-0.0001972912472955805,-0.18307914046736193,-0.3068350737196845,-0.3972833139538611,-0.4648298529892725,-0.518149845642929,-0.5592280742969791,-0.6329314744183124,-0.6438919604689258,,,
